url,id,price,baths,rooms,sqft
https://www.idealista.com/inmueble/101827298/,101827298,1300000,4,3,121
https://www.idealista.com/inmueble/98711049/,98711049,330000,2,2,80
https://www.idealista.com/inmueble/101304008/,101304008,719000,3,3,87
https://www.idealista.com/inmueble/102160165/,102160165,517000,2,3,109
https://www.idealista.com/inmueble/103206000/,103206000,490000,2,3,108
https://www.idealista.com/inmueble/102115361/,102115361,820000,4,5,287
https://www.idealista.com/inmueble/102245077/,102245077,435000,1,2,82
https://www.idealista.com/inmueble/102544248/,102544248,399000,1,2,75
https://www.idealista.com/inmueble/102641086/,102641086,1550000,3,3,156
https://www.idealista.com/inmueble/102907103/,102907103,549000,2,3,127
https://www.idealista.com/inmueble/102346709/,102346709,430000,2,2,76
https://www.idealista.com/inmueble/102608063/,102608063,450000,2,3,94
https://www.idealista.com/inmueble/104005337/,104005337,870000,2,3,177
https://www.idealista.com/inmueble/104022088/,104022088,460000,1,4,126
https://www.idealista.com/inmueble/103713258/,103713258,338000,1,1,67
https://www.idealista.com/inmueble/101480514/,101480514,132000,1,1,46
https://www.idealista.com/inmueble/103174629/,103174629,530000,1,2,78
https://www.idealista.com/inmueble/103587430/,103587430,1129000,3,2,98
https://www.idealista.com/inmueble/103151161/,103151161,439000,2,2,103
https://www.idealista.com/inmueble/103346480/,103346480,695000,2,4,125
https://www.idealista.com/inmueble/104123716/,104123716,950000,2,4,169
https://www.idealista.com/inmueble/103530233/,103530233,250000,1,1,45
https://www.idealista.com/inmueble/104127452/,104127452,1250000,4,5,302
https://www.idealista.com/inmueble/103114156/,103114156,860000,2,2,195
https://www.idealista.com/inmueble/102985937/,102985937,1490000,3,2,133
https://www.idealista.com/inmueble/102879081/,102879081,550000,1,2,97
https://www.idealista.com/inmueble/103259248/,103259248,649000,2,2,73
https://www.idealista.com/inmueble/103408717/,103408717,442327,2,0,91
https://www.idealista.com/inmueble/98278910/,98278910,485000,1,1,48
https://www.idealista.com/inmueble/104185411/,104185411,1095000,3,4,270
https://www.idealista.com/inmueble/104201772/,104201772,345000,2,3,98
https://www.idealista.com/inmueble/103696249/,103696249,400000,2,3,118
https://www.idealista.com/inmueble/98988917/,98988917,900000,3,3,138
https://www.idealista.com/inmueble/104005072/,104005072,1850000,3,4,297
https://www.idealista.com/inmueble/104157401/,104157401,960000,2,6,204
https://www.idealista.com/inmueble/99806367/,99806367,789000,3,3,107
https://www.idealista.com/inmueble/99121954/,99121954,315000,1,1,65
https://www.idealista.com/inmueble/101783327/,101783327,995000,2,2,106
https://www.idealista.com/inmueble/103493531/,103493531,1490000,3,2,133
https://www.idealista.com/inmueble/103470749/,103470749,1349000,3,3,183
https://www.idealista.com/inmueble/103699281/,103699281,697000,1,2,122
https://www.idealista.com/inmueble/104073313/,104073313,500000,1,2,96
https://www.idealista.com/inmueble/103054807/,103054807,1750000,3,2,150
https://www.idealista.com/inmueble/104008874/,104008874,1850000,3,4,297
https://www.idealista.com/inmueble/103463278/,103463278,890000,2,3,121
https://www.idealista.com/inmueble/102344971/,102344971,375000,1,3,92
https://www.idealista.com/inmueble/104205495/,104205495,369000,2,2,75
https://www.idealista.com/inmueble/101779950/,101779950,849000,2,2,83
https://www.idealista.com/inmueble/104204737/,104204737,385000,2,3,92
https://www.idealista.com/inmueble/101371153/,101371153,1450000,4,5,258
https://www.idealista.com/inmueble/101546808/,101546808,790000,3,3,137
https://www.idealista.com/inmueble/102825728/,102825728,1680000,3,3,150
https://www.idealista.com/inmueble/99854017/,99854017,1450000,3,3,223
https://www.idealista.com/inmueble/103903962/,103903962,1710000,4,3,206
https://www.idealista.com/inmueble/101851449/,101851449,950000,3,3,119
https://www.idealista.com/inmueble/103648302/,103648302,1050000,2,3,133
https://www.idealista.com/inmueble/103619103/,103619103,1099000,4,4,166
https://www.idealista.com/inmueble/103911199/,103911199,525000,2,3,104
https://www.idealista.com/inmueble/100979707/,100979707,610000,2,2,113
https://www.idealista.com/inmueble/103794965/,103794965,1200000,2,3,140
https://www.idealista.com/inmueble/103938571/,103938571,950000,3,3,120
https://www.idealista.com/inmueble/103938610/,103938610,1349000,3,3,137
https://www.idealista.com/inmueble/104156897/,104156897,229000,2,3,118
